date,treatment,crop,row,unique_id,Asat,gs,Vcmax,Vcmax.std.error,Jmax,Jmax.std.error
10/15/24,c,radish,north,crn,11.94,0.348,34.18,5.29,65.56,5.64
10/15/24,p,radish,south,prs,11.95,0.539,44.4,5.71,52.5,2.83
10/15/24,p,radish,nine,pr9,18.25,1.1,84.4,21.97,88.29,4.7
10/15/24,p,radish,ten,pr10,19.2,0.84,82.32,9.7,99.35,4.5
10/15/24,c,radish,center,crc,16.07,1.33,73.28,13.18,79.61,3.045
10/15/24,c,radish,south,crs,19.69,0.79,84.75,5.48,110.97,2.32
10/15/24,p,radish,eleven,pr11,17.24,0.41,73.69,7.52,94.62,3.06
10/15/24,p,radish,eleven,pr11.2,15.73,0.29,54.82,5.9,82.89,4.25
10/15/24,c,radish,north,crn.2,18.5,0.39,80.35,16.08,91.039,6.033
10/15/24,c,radish,center,crc.2,18.08,0.5,70.74,15.2,91.64,4.92
10/16/24,c,radicchio,east,cde,8.68,0.124,36.58,0.81,57.34,0.725
10/16/24,p,radicchio,ten,pd10,9.01,0.128,43.3,6.29,54.55,2.28
10/16/24,c,radicchio,east,cde.2,11.06,0.134,53.13,8.88,70.02,3.12
10/16/24,c,radicchio,center,cdc,11.05,0.198,46.25,6.76,62.6,2.57
10/16/24,p,radicchio,ten,pd10.2,11.48,0.198,46.25,4.61,69.8,2.65
10/16/24,p,radicchio,eleven,pd11,12.28,0.175,47.65,17.19,71.01,11.89
10/16/24,p,radicchio,eleven,pd11.2,12.12,0.22,49.47,6.41,69.67,2.36
10/16/24,p,radicchio,nine,pd9,13.21,0.17,59.31,7.03,77.38,2.61
10/16/24,c,radicchio,west,cdw,11.43,0.135,54.65,1.68,79.91,1.31
10/16/24,c,radicchio,west,cdw.2,10.07,0.12,45.94,0.92,73.79,0.89
10/16/24,p,radicchio,eight,pd8,12.69,0.18,53.79,4.13,78.73,2.84
10/16/24,p,radicchio,eight,pd8.2,13.79,0.53,57.95,3.57,77.84,1.58
10/16/24,c,radicchio,west,cdw.3,13.02,0.19,63.74,6.97,80.41,2.36
10/17/24,c,radish,center,crc,9.44,0.58,29.59,4.09,52.53,4.79
10/17/24,p,radish,eight,pr8,8.88,0.95,28.06,2.31,56.86,3.1
10/17/24,p,radicchio,eight,pd8,9.01,0.19,33.21,1.99,59.39,2.17
10/17/24,p,radicchio,eight,pd8.2,9.68,0.27,45.06,2.17,60.28,0.84
10/17/24,c,radicchio,center,cdc.2,10.7,0.13,48.35,1.41,77.25,1.32
10/17/24,c,radish,center,crc.2,18.7,0.22,84.76,7.73,117.81,4.92
10/17/24,c,radish,east,cre,15.5,0.44,68.67,10.34,83.04,3.97
10/17/24,p,radicchio,ten,pd10,12.47,0.16,58.92,2.12,83.27,1.32
10/17/24,p,radicchio,ten,pd10.2,15.3,0.31,71.6,13.98,84.1,5.45
10/17/24,p,radish,ten,pr10,17.7,0.42,66.75,16.47,87.47,6
