obs,elapsed,date,treatment,crop,row,unique_id,KEEP,time,averaging,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,gsw:MN,gsw:SLP,gsw:SD,gsw:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,0,10/15/24,c,radish,north,crn,y,7:09:36,15,0.006043432,6.043432457,11.94017628,398.4528333,386.0800869,38.94837851,40.19656101,3.482778325,3.110527593,1.719082717,1.156639897,284.7603366,9.988262621,10.48617667,1.273201329,75.41730181,0.922411553,1.223076842,0.350789776,-266.5153714,-100.7395548,-5.878846661,-88.37343622,250,42,1,0,56516.29777,1600.001667,1361.137434,0.85071001,0.177975025,9,33,0: Broadleaf,2,1728911368,398.4528333,419.9654333,9.143506,0.165292233,393.6663333,9.230506,600.2705,100.7816667,0.0999375,9.885445,10.48617667,999.9,0,0,10000.31933,401.1380333,431.8436333,-21.51260667,402.087,420.0349,8.872947333,419.9654333,0.165292233,0.910889267,0.016658447,5.563932333,-41.1711,1600.001667,0.642999667,0.357000333,10.15694,26723.04333,1728911417,7:10:16,1728910749,1728911417,2,-0.792,0.09,4.789,-0.087,418,0,0.61,0.02,0,0,0,0,0,0,0,3.25014,2.7813,0.0968011,0.102857,0.0622041,0.00164367,23483.8,23016,24937.6,22806.3,34601.9,29074.2,40801.3,31575.2,1.8867,2.1112,0.103656,0,8.74699,999.9,44.9,18.5,9.52196,66.8397,15.012,1,-1.11928,-0.549559,20.3712,5.24005,11.9261,4.9819,3.283,9999,9999,9999,999.9,4.97142,1.86035,1.86584,1.85684,1.86167,1.86222,1.8631,1.85886,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.786,-0.087,4.63970675,0.000678439,-9.11E-07,3.42E-10,-0.174170795,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,10.4,10.4,1.04492,2.33032,1.50024,2.32422,1.4502,2.39014,20.8369,16.1021,19,312.872,417.347,9.99928,11.9395,29.9995,12.2366,12.2518,20.9674,100,57.7618,10,420,0,103.144,103.582
2,139.5,10/15/24,c,radish,north,crn,n,7:11:55,15,0.001712219,1.712218779,3.725428919,791.8668182,745.3596637,75.18898837,79.88044951,0.181606033,3.11117368,0.172145983,0.108401879,284.7592474,11.06151236,10.46092727,1.271058676,22.52166345,0.275403491,1.222838142,0.995655185,-75.50884816,-97.01388312,-5.659407618,106.5771085,242,40,1,0,56532.90718,1599.994545,1361.131447,0.850710055,0.177975136,9,33,0: Broadleaf,2,1728911513,791.8668182,799.4777273,2.730115909,0.172498818,785.3427273,2.828851364,600.8678182,100.7783636,0.097753,9.882532727,10.46092727,999.9,0,0,10003.61818,401.2397273,319.101,-7.610819364,794.0186364,799.6157273,2.557616089,799.4777273,0.172498818,0.275136373,0.017384127,-19.13916855,-40.85391818,1599.994545,0.642998182,0.357001818,10.87879091,26722.91818,1728911510,7:11:50,1728911492,1728911510,3,1.748,0.002,6.523,-0.085,800,0,0.06,0.02,0,0,0,0,0,0,0,3.24904,2.77705,0.155157,0.161245,0.0582352,0.00283767,21981.8,21522.9,24952.2,22809,34770.8,29043.6,40822.5,31579.1,1.9102,2.1139,0.0989176,0,8.79251,999.9,43.5,18.3,9.11046,66.8297,14.5353,1,-1.13177,-0.567808,20.3707,5.23316,11.9261,4.9812,3.2824,9999,9999,9999,999.9,4.97148,1.86037,1.86586,1.85686,1.86169,1.86222,1.86307,1.85887,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,6.527,-0.1046,6.38776316,0.000678439,-9.11E-07,3.42E-10,-0.082453748,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.4,0.1,1.77124,2.32544,1.50024,2.32422,1.4502,2.47559,20.7366,16.0934,19,320.392,415.833,9.99938,11.7262,29.9998,11.9927,11.9741,35.4539,88.5718,55.0852,10,800,0,103.2,103.594
3,233,10/15/24,c,radish,north,crn,n,7:13:29,15,0.001715663,1.715662504,3.74524907,592.486,549.0922347,55.38740489,59.76457123,0.18244496,3.108469256,0.172891811,0.108875792,284.7597637,11.02636702,10.42278182,1.26782769,22.50137914,0.274505414,1.219949285,0.993322276,-75.66071641,-96.45026301,-5.629233175,107.0195511,241,40,1,0,56472.4263,1599.998182,1361.134488,0.850710022,0.177975055,9,33,0: Broadleaf,2,1728911606,592.486,599.6181818,2.721355,0.158619818,586.7737273,2.819547364,600.8791818,100.7730909,0.097767191,9.847247273,10.42278182,999.9,0,0,9991.706364,401.3003636,273.0544545,-7.132157994,594.0878182,599.7133636,2.562735649,599.6181818,0.158619818,0.274238482,0.0159846,-19.22171882,-41.59339091,1599.998182,0.642999273,0.357000727,10.33333636,26723,1728911604,7:13:23,1728911588,1728911510,4,-0.829,0.002,5.712,-0.085,600,0,0.12,0.02,0,0,0,0,0,0,0,3.2495,2.77714,0.126943,0.132891,0.0578624,0.00230804,22719,22250.8,24956.8,22810.5,34790.4,29060.6,40829.9,31581,1.91545,2.11702,0.0991374,0,8.75077,999.9,42.3,18.3,8.85898,66.8197,14.5753,1,-1.13849,-0.587228,20.3702,5.23571,11.9261,4.98135,3.2827,9999,9999,9999,999.9,4.97148,1.86035,1.86585,1.85684,1.86168,1.86223,1.86307,1.85886,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,5.713,-0.105,5.559055149,0.000678439,-9.11E-07,3.42E-10,-0.082453748,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.3,1.6,1.39893,2.32056,1.50024,2.32422,1.4502,2.3291,20.6564,16.0846,19,321.415,415.923,9.99997,11.6136,29.9998,11.85,11.8233,28.0218,87.4773,52.7087,10,600,0,103.219,103.6
4,328,10/15/24,c,radish,north,crn,n,7:15:04,15,0.001723763,1.723763345,3.809100271,492.7433636,450.4679063,45.43657185,49.70069773,0.183243178,3.109028864,0.173610164,0.109331444,284.7599236,11.04794228,10.43538182,1.268894131,22.51209063,0.275074695,1.221897602,0.993819435,-76.01796352,-94.58943599,-5.52069841,108.6318257,240,40,1,0,56481.49486,1600,1361.135969,0.850709981,0.177974952,9,33,0: Broadleaf,2,1728911701,492.7433636,499.7204545,2.727149455,0.152474455,487.346,2.825415909,600.9131818,100.7675455,0.097735327,9.871052727,10.43538182,999.9,0,0,9994.829091,401.4213636,340.1365455,-6.97702364,494.0757273,499.7964545,2.574676813,499.7204545,0.152474455,0.274807791,0.015364491,-19.22069955,-41.95940909,1600,0.643000636,0.356999364,11,26723.04545,1728911699,7:14:58,1728911687,1728911510,5,-0.315,0.002,5.398,-0.085,500,0,0.2,0.02,0,0,0,0,0,0,0,3.2499,2.77711,0.110917,0.116904,0.0575174,0.0021708,23140.5,22662.7,24961.7,22812.1,34810.1,29066.6,40838.2,31583.3,1.92083,2.11962,0.100657,0,8.74385,999.9,41.2,18.2,8.57634,66.7096,14.0745,1,-1.14564,-0.589858,20.3709,5.23796,11.9261,4.98115,3.28278,9999,9999,9999,999.9,4.97151,1.86036,1.86584,1.85684,1.86167,1.86221,1.86309,1.85886,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,5.397,-0.1053,5.243618233,0.000678439,-9.11E-07,3.42E-10,-0.082453748,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.3,3.2,1.20605,2.31812,1.50024,2.32422,1.4502,2.51099,20.5762,16.0846,19,322.58,415.886,9.99945,11.5119,29.9997,11.7195,11.6886,24.1705,86.8996,50.3887,10,500,0,103.239,103.608
5,423.9000001,10/15/24,c,radish,north,crn,n,7:16:40,15,0.001642615,1.642614869,3.52837184,393.5670909,353.0874074,35.61309142,39.69595204,0.170955505,3.110666298,0.162544791,0.10231317,284.7600237,11.14813026,10.49549091,1.273992535,21.36587236,0.262483951,1.228519701,1.011508584,-72.43931571,-91.19236259,-5.323594679,115.8047507,240,40,1,0,56506.12244,1599.999091,1361.135301,0.850710046,0.177975116,9,33,0: Broadleaf,2,1728911797,393.5670909,399.8203636,2.602407545,0.148430727,388.6332727,2.696727909,600.8639091,100.7644545,0.097515255,9.951715455,10.49549091,999.9,0,0,10002.66545,401.6002727,367.9796364,-6.253281667,394.5804545,399.8795455,2.453976312,399.8203636,0.148430727,0.262231136,0.014956527,-19.86616136,-42.21605455,1599.999091,0.642998455,0.357001545,11,26722.99091,1728911795,7:16:34,1728911776,1728911795,6,-0.456,0.005,4.935,-0.08,400,0,0.25,0.01,0,0,0,0,0,0,0,3.25033,2.77698,0.0933792,0.0992237,0.0559621,0.00220275,23602.3,23118.6,24966.9,22814,34874.9,29067.5,40846,31585.7,1.92292,2.1223,0.0999793,0,8.82157,999.9,40.4,18.1,8.35726,66.7096,13.73,1,-1.15171,-0.561261,20.3713,5.23436,11.9261,4.9812,3.28248,9999,9999,9999,999.9,4.97147,1.86036,1.86584,1.85683,1.8617,1.86222,1.86304,1.85886,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.932,-0.1015,4.787748358,0.000678439,-9.11E-07,3.42E-10,-0.077346501,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.4,0.1,1.0083,2.32422,1.50024,2.32422,1.4502,2.46582,20.516,16.0758,19,322.526,416.069,10.001,11.4209,29.9997,11.6024,11.5703,20.2172,83.7927,48.1668,10,400,0.221712,103.26,103.616
6,523.4000001,10/15/24,c,radish,north,crn,y,7:18:19,15,0.001580797,1.580796518,2.237915532,196.121,169.9793384,17.14454608,19.7812602,0.161143697,3.110800316,0.153649271,0.096676357,284.7605525,11.27701367,10.59531818,1.282499675,20.41262352,0.252688567,1.237903431,1.029811108,-69.71312643,-88.87839415,-5.194154996,120.9748769,240,40,1,0,56486.77374,1600.001818,1361.137525,0.850709986,0.177975143,9,33,0: Broadleaf,2,1728911897,196.121,199.9374545,2.505276909,0.143401545,192.3255455,2.598352727,600.8583636,100.7644545,0.098075218,10.06536364,10.59531818,999.9,0,0,10003.28182,401.7707273,381.2106364,-3.816521573,196.6053636,199.9662727,2.361874528,199.9374545,0.143401545,0.252443936,0.014449782,-20.21484936,-42.55363636,1600.001818,0.642997818,0.357002091,11,26723.00909,1728911894,7:18:14,1728911872,1728911894,7,-1.091,0,3.797,-0.08,200,0,0.2,0.02,0,0,0,0,0,0,0,3.24999,2.77738,0.0519149,0.0565514,0.0543456,0.00230133,24688.1,24216.3,24971.1,22814.2,34940,29063.8,40852.3,31585.8,1.92472,2.1241,0.0923797,0,9.0433,999.9,40,18,8.22186,66.7096,14.5753,1,-1.15581,-0.530436,20.3711,5.23601,11.9261,4.98115,3.28248,9999,9999,9999,999.9,4.97149,1.86035,1.86584,1.85683,1.86169,1.86222,1.86309,1.85886,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.793,-0.103,3.696414335,0.000678439,-9.11E-07,3.42E-10,-0.077740115,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.5,0.1,0.59082,2.35229,1.50024,2.32422,1.4502,2.3584,20.496,16.0671,19,322.575,416.135,9.99997,11.3634,30.0001,11.5146,11.486,11.8689,80.0597,45.902,10,200,0.587825,103.276,103.617
7,628.4000001,10/15/24,c,radish,north,crn,y,7:20:04,15,0.001487303,1.487303154,0.226665202,49.43593636,46.17431048,4.657095028,4.98605937,0.151820349,3.110101087,0.14514816,0.091293705,284.76,11.34548023,10.62064545,1.28466597,20.86711944,0.259093911,1.241637171,1.025572059,-65.59006911,-85.55833125,-5.003113119,128.6084865,240,40,1,0,56460.30548,1600,1361.136,0.85071,0.177975,9,33,0: Broadleaf,2,1728912002,49.43593636,49.88553636,2.568872364,0.347044364,46.26850909,2.664401091,600.917,100.7611818,0.097823536,10.11037273,10.62064545,999.9,0,0,10000.39091,401.9543636,280.4435455,-0.449614645,49.56238182,49.90285455,2.221827319,49.88553636,0.347044364,0.2588437,0.0349686,-17.37173727,-34.00717273,1600,0.643,0.357,11,26723.03636,1728911999,7:19:59,1728911983,1728911999,8,-0.558,-0.002,3.168,-0.084,50,0,0.29,0.02,0,0,0,0,0,0,0,3.25015,2.77728,0.0137158,0.0153171,0.053279,0.00591939,25686.9,25277.2,24971.2,22812.4,34979.3,28952.6,40852.5,31583.7,1.92553,2.1258,0.0901893,0,9.0982,999.9,39.2,18,8.05899,66.6496,14.3149,1,-1.15634,-0.48363,20.3709,5.23631,11.9261,4.98115,3.2825,9999,9999,9999,999.9,4.97149,1.86036,1.86584,1.85684,1.86164,1.86224,1.86306,1.85885,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.167,-0.1057,3.137952372,0.000678439,-9.11E-07,3.42E-10,-0.079787294,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.4,0.1,0.26123,2.40479,1.50024,2.323,1.4502,2.37793,20.496,16.0583,19,322.511,416.547,10.0009,11.3463,30.0002,11.465,11.438,5.25151,69.6876,43.6988,10,50,1.01104,103.277,103.609
8,721.4000001,10/15/24,c,radish,north,crn,y,7:21:37,15,0.001411071,1.41107055,-0.582119977,3.739178182,10.12937029,1.021640962,0.377130808,0.148835125,3.109535292,0.142415926,0.089564636,284.7598382,11.43685099,10.71132727,1.292448626,24.12686297,0.301019426,1.247652572,0.991429199,-62.22821123,-88.63041369,-5.188172202,128.7130411,239,40,1,0,56431.81364,1599.999091,1361.135227,0.85071,0.177975,9,33,0: Broadleaf,2,1728912095,3.739178182,2.875296364,2.984548727,0.877634909,0.600243018,3.089454091,600.9610909,100.7612727,0.098004145,10.18263636,10.71132727,999.9,0,0,9997.78,401.9471818,294.9950909,0.863881486,3.752325455,2.877820909,2.106913289,2.875296364,0.877634909,0.300727818,0.088431791,-12.77223291,-24.06279091,1599.999091,0.643,0.357,11,26723.01818,1728912092,7:21:32,1728912081,1728912092,9,0.001,-0.009,3.138,-0.097,3,1,0.48,0.01,0,0,0,0,0,0,0,3.24971,2.77731,0.000768035,0.000885383,0.0543495,0.0117184,26025.9,25649.3,24971,22812,34939.2,28778.4,40853.1,31583.2,1.9286,2.12768,0.0905469,0,9.18855,999.9,38.6,18,7.93439,66.6496,14.2548,1,-1.15719,-0.456983,20.371,5.23676,11.9261,4.98125,3.2825,9999,9999,9999,999.9,4.97159,1.8604,1.86586,1.85686,1.86169,1.86226,1.8631,1.8589,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.14,-0.1137,3.138529009,0.000678439,-9.11E-07,3.42E-10,-0.088394159,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.3,0.1,0.0317383,4.99878,1.50024,2.323,1.4502,2.4707,20.516,16.0408,19,323.486,417.236,10.0006,11.3318,30.0001,11.4308,11.4061,0,64.4975,42.0693,10,0,1.38319,103.277,103.607
9,811.9000001,10/15/24,c,radish,north,crn,y,7:23:08,15,0.00477896,4.778960068,13.36879973,774.5216,748.4372452,75.49121676,78.12221848,1.425200101,3.110575176,0.998845904,0.652033743,284.7596247,10.61544268,10.70283667,1.291718172,65.18702129,0.814168601,1.248973469,0.477549571,-210.752139,-84.58206077,-4.949729705,-15.52430474,249,41,1,0,56454.63628,1599.997667,1361.134031,0.85071001,0.177975025,9,33,0: Broadleaf,2,1728912180,774.5216,800.1165667,8.071854333,0.964149533,771.2450333,8.183803,600.2425,100.7651333,0.09999229,10.19846333,10.70283667,999.9,0,0,10002.179,401.9959333,296.3987667,-25.59492,780.8243667,800.8886333,7.107705333,800.1165667,0.964149533,0.813361667,0.097152677,3.942651,-22.95883667,1599.997667,0.642999667,0.357000333,11.02224,26723,1728912092,7:21:32,1728912081,1728912092,9,0.001,-0.009,3.138,-0.097,3,1,0.48,0.01,0,0,0,0,0,0,0,3.25086,2.78144,0.155744,0.16165,0.0567934,0.00909513,21982.5,21515,24968.7,22810.3,34850,28858.1,40851.4,31580.7,1.90702,2.12995,0.0871047,0,9.21877,999.9,38,17.9,7.76175,66.7295,14.8397,1,-1.15765,-0.452783,20.3716,5.23885,11.9261,4.9815,3.283,9999,9999,9999,999.9,4.97142,1.86035,1.86584,1.85684,1.86164,1.86218,1.86307,1.85883,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.276,-0.112,3.138529009,0.000678439,-9.11E-07,3.42E-10,-0.088394159,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.8,1.6,1.77246,2.34497,1.50024,2.32422,1.4502,2.31201,20.516,16.0496,19,314.529,417.968,9.99923,11.3257,30,11.3824,11.36,35.4972,77.2968,39.4441,10,800,0.927393,103.271,103.6
10,943.4000001,10/15/24,c,radish,north,crn,n,7:25:19,15,0.001689013,1.689013325,3.315094772,992.1188462,951.1144801,95.93088156,100.0666455,0.203592252,3.111398214,0.191780385,0.120869282,284.7595982,11.35909565,10.66207692,1.288216639,32.67030483,0.40739377,1.246984905,0.88082287,-74.48548762,-81.76504676,-4.781977562,123.7270863,242,40,1,0,56479.85334,1599.997692,1361.133849,0.850709882,0.177975006,9,33,0: Broadleaf,2,1728912316,992.1188462,999.5970769,4.039138462,1.518536154,985.0461538,4.159858462,600.639,100.764,0.097550908,10.17463077,10.66207692,999.9,0,0,10006.07692,401.9770769,262.3843846,-7.478305923,996.1300769,1001.117692,2.520601054,999.5970769,1.518536154,0.407,0.153013846,-7.887418662,-17.80486154,1599.997692,0.642999462,0.357000385,11.08972308,26723,1728912313,7:25:13,1728912296,1728912313,10,3.824,-0.014,7.072,-0.115,1000,1,0.06,0.02,0,0,0,0,0,0,0,3.24913,2.77777,0.181007,0.186354,0.0562716,0.0191526,21329.3,20881.4,24971.3,22808.1,34873.6,28555.3,40855.2,31577.6,1.9207,2.13072,0.0908375,0,9.1279,999.9,37.2,17.9,7.59961,66.8595,13.6779,1,-1.15665,-0.491204,20.3718,5.2393,11.9261,4.98155,3.283,9999,9999,9999,999.9,4.97146,1.86035,1.86584,1.85684,1.86161,1.86218,1.86305,1.85884,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,7.075,-0.1262,6.962507082,0.000678439,-9.11E-07,3.42E-10,-0.102132072,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.4,0.1,2.13135,2.34985,1.50024,2.32422,1.4502,2.39502,20.4759,16.0408,19,320.08,418.462,9.99942,11.3209,30,11.3995,11.3651,42.6595,61.666,38.5241,10,1000,1.86481,103.281,103.59
