obs,elapsed,date,treatment,crop,row,unique_id,KEEP,time,averaging,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,FLUOR.FlrLS:MN,FLUOR.FlrLS:SLP,FLUOR.FlrLS:SD,FLUOR.FlrLS:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,0,10/15/24,p,radish,ten,pr10,y,11:27:59,none,0.003716587,3.716586745,9.309439613,410.275,377.1871211,37.9950667,41.32809717,0.511411396,2.941735241,0.466663557,0.295358167,35.52069857,12.30622169,12.0913,1.41611494,41.19738855,0.621978922,1.509753274,0.794136017,-163.9014755,154.7885544,9.795529372,36.20330685,45,7,1,0,55837.61894,200.199,170.0163508,0.849236763,0.177426953,6,0.5,0: Broadleaf,2,1728923280,410.275,420.109,6.17455,2.48101,410.26,6.26255,600.016,100.652,0.0806724,13.0673,12.0913,999.9,0,0,10004.4,0,0.0011467,200.199,0.692119,0.307881,0,1.7593,0,5475.94,1491.09,36,40.5,39.062,39,35.812,138.56,61.64,0,1728923260,0,1728923311,11:28:30,1728923250,1728923311,2,0.143,-0.004,0.016,-0.088,420,2,0.09,0.02,-4.971880235,-42.65688469,4.563909363,0,,,,,1.769139287,15.00842906,1.579374105,0,0,2,0/2,100,100,0.015,-0.088,0.01565,0,0,0,-0.0840485,0,0,0,-1,-1,-1,-1,0.5,0.2,1.02051,2.47681,1.54785,2.35718,1.54785,2.25708,21.7206,14.9726,18,533.942,469.941,10.003,14.6332,30.0012,14.6456,14.6046,20.4,75.2097,0,10,420,2.28452,103.006,103.828
2,109.5,10/15/24,p,radish,ten,pr10,y,11:29:49,none,0.003541972,3.541972281,3.822652889,414.632,395.3598282,39.83006071,41.77161298,0.469382763,2.942577507,0.431405173,0.272783849,17.74801376,12.30666257,12.128,1.419541242,39.63229153,0.600696129,1.515673471,0.818845113,-156.2009776,158.5133264,10.03346448,30.09382704,42,7,1,0,55851.83209,100.037,84.95445231,0.849230308,0.177414494,6,0.5,0: Broadleaf,2,1728923389,414.632,419.924,5.96261,2.44127,414.616,6.05361,599.917,100.663,0.0808234,13.1272,12.128,999.9,0,0,10008.1,0,0.0011467,100.037,0.692359,0.307641,0,0.6085,0,3134.37,745.148,35.687,41.062,39.062,39.437,35.687,69.26,30.78,0,1728923370,0,1728923417,11:30:17,1728923250,1728923417,3,0.143,-0.002,0.016,-0.091,420,2,0.09,0.02,-5.389302439,0.538868153,0.086400079,0,,,,,3.543174146,-0.103900348,0.010287408,0,0,2,0/2,100,100,0.016,-0.091,0.01565,0,0,0,-0.088356,0,0,0,-1,-1,-1,-1,2.3,1.3,1.02051,2.47681,1.54785,2.35474,1.54785,2.23022,22.1833,14.9638,18,536.498,468.506,10.0001,15.0041,30.0012,14.9677,14.9257,20.3928,75.4044,0,10,420,2.44082,102.956,103.76
3,229,10/15/24,p,radish,ten,pr10,y,11:31:48,none,0.003300756,3.300756406,1.358958599,417.238,406.5814506,40.96324301,42.0368946,0.436889618,2.938180574,0.40374399,0.255108119,8.882542735,12.2866106,12.1093,1.417794504,39.81983398,0.602380585,1.512765185,0.815413919,-145.5633575,156.5815544,9.923512691,29.82425233,41,7,1,0,55723.82962,50.0759,42.52511823,0.849213259,0.177381589,6,0.5,0: Broadleaf,2,1728923509,417.238,419.974,5.97894,2.69811,417.222,6.07194,600.035,100.669,0.0813981,13.0978,12.1093,999.9,0,0,9982.5,0,0.00129004,50.0759,0.692858,0.307142,0,0.9926,0,3754.63,373.068,35.375,41.312,38.937,39.625,35.5,34.7,15.38,0,1728923489,0,1728923537,11:32:16,1728923250,1728923537,4,0.143,-0.002,0.016,-0.093,420,3,0.09,0.03,-2.815374146,0.131084111,0.063826213,0,,,,,3.296884146,-0.083608223,0.008319425,1,1,2,2-Jan,100,100,0.016,-0.093,0.01565,0,0,0,-0.0907135,0,0,0,-1,-1,-1,-1,4.3,1.5,1.02051,2.47925,1.54785,2.34863,1.54785,2.19849,22.5863,14.9463,18,538.106,468.021,10.0004,15.3296,30.0008,15.2785,15.2267,20.3993,74.1936,0,10,420,2.64842,102.918,103.71
4,351,10/15/24,p,radish,ten,pr10,y,11:33:50,none,0.003146344,3.146344199,-1.230158461,419.899,419.5278593,42.26383022,42.30121946,0.415830636,2.939343147,0.38569625,0.243585381,0,12.25220236,12.0937,1.41633878,39.90388113,0.602769131,1.510552644,0.813569649,-138.7537792,155.5659423,9.853280604,26.66544376,40,7,1,0,55763.37842,0,0,0,0,6,0.5,0: Broadleaf,2,1728923631,419.899,419.99,5.98333,2.85541,419.885,6.07533,599.923,100.66,0.0814151,13.0754,12.0937,999.9,0,0,9990,0,0.00129004,0,0,0,0,1.6516,0,2564.58,3.7233,34.937,41.312,38.687,39.437,35.125,0,0,0,1728923611,0,1728923670,11:34:29,1728923646,1728923670,5,-0.001,0.001,0.014,-0.092,420,3,0.67,0.03,-0.056776416,-0.252420259,0.087564176,0,,,,,3.13993075,-0.062137373,0.006055103,1,1,2,2-Jan,100,100,0.014,-0.092,0.01565,0,0,0,-0.0931205,0,0,0,-1,-1,-1,-1,6.3,1.6,1.02051,2.47803,1.54785,2.34863,1.54785,2.18018,22.8889,14.9288,18,539.342,466.965,10.0006,15.5748,30.0006,15.541,15.4904,20.4052,73.8554,0,10,420,2.83062,102.893,103.674
5,872.4000001,10/15/24,p,radish,ten,pr10,y,11:42:32,none,0.006781565,6.781565078,21.93896843,385.456,321.7891398,32.42026784,38.83470638,1.001096515,2.939848417,0.843600781,0.53932427,283.932144,13.34934292,13.1616,1.519082606,46.427975,0.718162386,1.546831164,0.80092022,-299.0670199,43.98183743,2.806243662,31.65320515,10,2,1,0,55708.16235,1600.23,1358.9784,0.849239422,0.177432084,6,0.5,0: Broadleaf,2,1728924152,385.456,420.01,7.12816,0.394733,385.082,7.1759,599.982,100.67,0.0800373,13.4391,13.1616,999.9,0,0,9991.88,0,0.0011467,1600.23,0.692022,0.307978,0,1.7308,0,14155.3,11918.2,37.125,38,37.937,36.312,35.875,1107.39,492.84,0,1728924133,0,1728923983,11:39:43,1728923973,1728923983,6,0.359,0.045,0.374,-0.048,420,0,0.1,0.01,-34.4530325,-0.012548218,0.049959561,1,,,,,6.72301325,0.042332645,0.004514572,1,2,2,2-Feb,100,100,0.374,-0.0477,0.373809524,0,0,0,-0.04774195,0,0,0,-1,-1,-1,-1,3,2.8,1.02417,2.47681,1.54785,2.34985,1.54785,2.21313,22.546,14.8325,18,570.861,463.191,10.0015,15.5016,29.9999,15.6016,15.5602,20.4662,100,0,10,420,0,102.921,103.718
6,963.9000001,10/15/24,p,radish,ten,pr10,y,11:44:03,none,0.00670706,6.707060163,20.91749197,386.416,324.9795299,32.74022861,38.92967715,1.007032006,2.939539498,0.847806935,0.542075062,248.4072,13.15231974,12.9369,1.496935514,45.83065681,0.708655002,1.546246664,0.788280512,-295.7813532,78.66771147,5.013832338,36.30739064,11,2,1,0,55699.78435,1399.99,1188.9288,0.849240923,0.177434982,6,0.5,0: Broadleaf,2,1728924244,386.416,419.928,7.03411,0.373673,386.042,7.08185,599.95,100.665,0.0805104,13.4333,12.9369,999.9,0,0,9990.62,0,0.00133782,1399.99,0.69197,0.30803,0,1.2954,0,11742.1,10426.7,37.437,38.125,38.187,36.875,36.312,968.75,431.24,0,1728924224,0,1728923983,11:39:43,1728923973,1728923983,6,0.359,0.045,0.374,-0.048,420,0,0.1,0.01,-33.598265,-0.087316323,0.060184415,1,,,,,6.6639015,-0.021578161,0.002515874,1,2,2,2-Feb,100,100,0.374,-0.0477,0.373809524,0,0,0,-0.04774195,0,0,0,-1,-1,-1,-1,4.5,4.3,1.02417,2.49023,1.54785,2.35107,1.54785,2.13013,22.5258,14.815,18,570.58,463.387,10.0004,15.4859,30.0001,15.5837,15.5455,20.4802,100,0,10,420,0,102.924,103.721
7,1054.4,10/15/24,p,radish,ten,pr10,y,11:45:34,none,0.006564509,6.564508808,19.71805164,387.717,328.348142,33.07827407,39.05918002,1.002707096,2.943087152,0.844891423,0.540154564,212.928258,12.85675644,12.6302,1.467164842,45.16768987,0.69283031,1.533906897,0.774334532,-289.4948384,107.9257794,6.854829956,38.21402894,11,2,1,0,55831.56337,1200.06,1019.1378,0.849239038,0.177431343,6,0.5,0: Broadleaf,2,1728924334,387.717,419.987,6.87731,0.356578,387.344,6.92505,599.874,100.661,0.0804687,13.3104,12.6302,999.9,0,0,10011.2,0,0.00144293,1200.06,0.692029,0.307971,0,2.0751,0,9796.17,8937.86,37.437,38.187,38.375,36.375,36.312,830.48,369.58,0,1728924315,0,1728923983,11:39:43,1728923973,1728923983,6,0.359,0.045,0.374,-0.048,420,0,0.1,0.01,-32.251875,-0.065425891,0.061803017,1,,,,,6.52817775,-0.037384728,0.003640899,1,2,2,2-Feb,100,100,0.373,-0.0477,0.373809524,0,0,0,-0.04774195,0,0,0,-1,-1,-1,-1,6,5.8,1.02539,2.48413,1.54785,2.35107,1.54785,2.2522,22.4452,14.815,18,570.187,463.583,9.99962,15.461,30,15.5604,15.5209,20.4875,100,0,10,420,0,102.93,103.721
8,1146.9,10/15/24,p,radish,ten,pr10,y,11:47:06,none,0.006388375,6.388374817,19.08926947,389.481,332.8256399,33.52989787,39.23753638,0.995291413,2.935543713,0.839275504,0.53651503,177.4270654,12.51617857,12.2684,1.432716379,44.43740672,0.673900035,1.516515218,0.758816344,-281.7273294,137.2597936,8.715796224,41.67532584,11,2,1,0,55636.1023,999.984,849.2247046,0.849238292,0.177429904,6,0.5,0: Broadleaf,2,1728924427,389.481,420.06,6.68929,0.343321,389.107,6.73704,599.969,100.663,0.0801335,13.1357,12.2684,999.9,0,0,9968.12,0,0.00152894,999.984,0.69206,0.30794,0,1.7903,0,8122.52,7447.78,37.187,38.062,38.312,36.375,36.062,692.05,307.94,0,1728924407,0,1728923983,11:39:43,1728923973,1728923983,6,0.359,0.045,0.374,-0.048,420,0,0.1,0.01,-30.51244,-0.00615985,0.047102398,1,,,,,6.36047425,-0.074454371,0.007201792,1,2,2,2-Feb,100,100,0.374,-0.0478,0.373809524,0,0,0,-0.04774195,0,0,0,-1,-1,-1,-1,7.6,7.4,1.02539,2.48535,1.54785,2.35107,1.54785,2.10938,22.3243,14.7975,18,570.196,463.535,9.99874,15.4128,29.9999,15.5184,15.4778,20.4962,100,0,10,420,0,102.936,103.727
9,1245.9,10/15/24,p,radish,ten,pr10,y,11:48:45,none,0.006198368,6.198368193,18.82148721,391.761,338.8756323,34.13897283,39.4667449,0.983276318,2.942120776,0.830982807,0.531070613,141.9072287,12.18162492,11.8892,1.397377004,43.59327403,0.653584189,1.499277592,0.743792815,-273.3480373,169.9724933,10.73759244,49.26927721,11,2,1,0,55870.39016,799.764,679.192897,0.849241647,0.17743638,6,0.5,0: Broadleaf,2,1728924526,391.761,420.007,6.48771,0.330376,391.387,6.53545,600.08,100.662,0.0798934,12.9608,11.8892,999.9,0,0,10005.6,0,0.00133782,799.764,0.691943,0.308057,0,2.344,0,6592.34,5956.31,36.687,37.812,38.125,36,35.687,553.39,246.37,0,1728924506,0,1728923983,11:39:43,1728923973,1728923983,6,0.359,0.045,0.374,-0.048,420,0,0.1,0.01,-28.26042,-0.020024015,0.044348321,1,,,,,6.165986,-0.041816961,0.004074244,1,2,2,2-Feb,100,100,0.374,-0.0477,0.373809524,0,0,0,-0.04774195,0,0,0,-1,-1,-1,-1,9.2,9,1.02539,2.48291,1.54785,2.35474,1.54785,2.21924,22.1632,14.8062,18,569.932,463.676,9.99927,15.318,29.9997,15.4393,15.3996,20.4926,100,0,10,420,0,102.947,103.737
10,1434.9,10/15/24,p,radish,ten,pr10,y,11:51:54,none,0.005950717,5.950717125,16.75757032,394.742,346.6730562,34.92099718,39.76306789,0.958511751,2.936672729,0.812964529,0.519327948,106.4629346,11.78539712,11.4968,1.361617366,42.81814993,0.631578244,1.4750246,0.730039121,-262.4266252,192.3452765,12.13249801,48.51408384,12,2,1,0,55752.81093,600.019,509.5599508,0.849239692,0.177432606,6,0.5,0: Broadleaf,2,1728924715,394.742,419.852,6.2699,0.355685,394.405,6.31165,599.918,100.652,0.0797891,12.7117,11.4968,999.9,0,0,9975.62,0,0.00152894,600.019,0.692008,0.307992,0,0.9501,0,5111.56,4468.8,35.687,37.375,37.5,35.25,34.937,415.22,184.8,0,1728924695,0,1728924613,11:50:13,1728924599,1728924613,7,-0.036,0.006,0.338,-0.042,420,0,0.12,0.02,-25.25247,0.063516698,0.060743819,1,,,,,5.932843,-0.082547167,0.008974141,1,2,2,2-Feb,100,100,0.337,-0.0418,0.337904762,0,0,0,-0.041746286,0,0,0,-1,-1,-1,-1,1.9,1.7,1.02661,2.49146,1.54785,2.34985,1.54785,2.17529,21.9015,14.7712,18,568.611,465.335,9.99873,15.1117,29.9997,15.2582,15.2209,20.5072,100,0,10,420,0,102.973,103.768
