Obs#,Time,Timepoint,Date,configName,configAuthor,Treatment,Veg,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
23,9:22:48,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.110863,2.919438,0.106807,1.070433,0.739798,0.719097,1.750279,1.010481,7.045103,7.247914,17.147743,0.29853,1.8,PSF-00495_20241017092248_a1f,0,0,0,183.285355,202.952744,0.096906,0.5,0.8,75.490005,1,48.95,47.58,13.08,15.35,15.35,102.07,156.4,159,-1.7,1948,3.727,9:21:06,10/17/24,-0.17,1,-0.004,-0.004,0.003,-1.358,-2.581,-4.809,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.50072,2.443666,1.65718,0.941194,0.440111,0.024446,0.194726,1.744707,183.285355,0.000283,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017092248_a1f,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
20,9:22:00,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.07433,2.921555,0.072486,0.943239,0.767916,0.74971,2.07765,1.309734,7.344821,7.523185,20.354502,0.29853,1.8,PSF-00495_20241017092200_bb4,0,0,0,80.460907,90.073944,0.106724,0.5,0.8,77.216141,1,51.04,49.83,13.01,18.05,18.05,102.07,156.7,158.9,-1.4,1809,3.729,9:21:06,10/17/24,-0.17,1,-0.003,-0.003,-0.013,-0.062,0.014,0.136,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.503984,2.44649,1.659375,0.940884,0.441306,0.054305,0.188108,1.628111,80.460907,0.000268,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017092200_bb4,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
22,9:22:29,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.14826,2.921015,0.141098,1.948729,0.755231,0.717598,2.144864,1.389633,7.030657,7.399361,21.014273,0.29853,1.8,PSF-00495_20241017092229_860,0,0,0,79.112289,88.662025,0.107709,0.5,0.8,84.715675,1,50.04,47.54,13.06,18.56,18.56,102.07,156.6,159.1,-1.6,1966,3.728,9:21:06,10/17/24,-0.17,1,0.002,0,-9999,0.1,0.261,-9999,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.500669,2.445135,1.658814,0.941315,0.440456,0.059382,0.19215,1.760509,79.112289,0.000273,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017092229_860,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
81,9:58:16,11,10/17/24,Albany,M Sturchio,Control,Radish,0.096596,2.922807,0.093506,1.231421,0.785319,0.761584,2.110173,1.324854,7.463002,7.695589,20.678242,0.29853,1.8,PSF-00495_20241017095816_3fd,0,0,0,70.689796,79.4338,0.110079,0.5,0.8,86.064499,1,46.67,45.26,14.74,18.3,18.3,102.05,156.8,158.4,-1,1955,3.686,9:53:48,10/17/24,-0.33,1,-0.004,-0.003,-0.003,-0.009,0.235,-0.002,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.496951,2.44043,1.66068,0.939472,0.411737,0.038564,0.435642,1.750678,70.689796,0.000282,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017095816_3fd,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
71,9:54:45,11,10/17/24,Albany,M Sturchio,Control,Radicchio,0.137629,2.920231,0.131435,1.692997,0.81735,0.784658,2.113073,1.295724,7.688357,8.008677,20.70463,0.29853,1.8,PSF-00495_20241017095445_21b,0,0,0,83.930611,94.452377,0.111398,0.5,0.8,80.788803,1,48.71,46.76,14.69,18.32,18.32,102.06,156.5,158.4,-1.2,1813,3.691,9:53:48,10/17/24,-0.33,1,0.004,0.003,0.023,-0.255,-0.966,-1.422,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.499157,2.44321,1.658001,0.939668,0.412478,0.039283,0.41518,1.631716,83.930611,0.00028,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017095445_21b,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
25,9:25:16,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.243428,2.920764,0.224701,2.532442,0.76209,0.713172,1.897596,1.135506,6.986266,7.465472,18.58894,0.29853,1.8,PSF-00495_20241017092516_abb,0,0,0,91.725113,103.502869,0.113792,0.5,0.8,80.466446,1,50.76,47.5,12.98,16.61,16.61,102.08,156.6,158.7,-1.4,1768,3.724,9:21:06,10/17/24,-0.17,1,0.002,0.002,-0.023,0.059,-0.116,0.767,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.500619,2.446118,1.658554,0.940423,0.441869,0.039037,0.214493,1.593702,91.725113,0.000269,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017092516_abb,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
34,9:33:23,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.382128,2.920459,0.337914,3.344618,0.781786,0.717177,1.779474,0.997689,7.025693,7.658614,17.432285,0.29853,1.8,PSF-00495_20241017093323_951,0,0,0,178.116196,201.844818,0.117559,0.5,0.8,84.755821,1,52.04,47.74,12.99,15.61,15.61,102.08,156.5,159.1,-1.6,1802,3.715,9:32:53,10/17/24,-0.52,1,0.005,0.003,0.005,0.623,1.059,12.175,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.500971,2.448296,1.658237,0.941213,0.441735,0.028158,0.273521,1.622757,178.116196,0.000274,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017093323_951,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
39,9:34:53,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.112926,2.919325,0.108721,1.361172,0.738076,0.711748,1.998937,1.260861,6.972637,7.230561,19.58259,0.29853,1.8,PSF-00495_20241017093453_649,0,0,0,92.668175,105.12149,0.118466,0.5,0.8,85.440971,1,48.94,47.19,13.05,17.44,17.44,102.08,156.4,158.9,-1.6,1803,3.713,9:32:53,10/17/24,-0.52,1,-0.005,-0.003,0.009,0.03,-0.016,-0.016,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.500159,2.444114,1.657063,0.940932,0.440662,0.047215,0.284063,1.623309,92.668175,0.000281,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017093453_649,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
31,9:28:39,11,10/17/24,Albany,M Sturchio,AV,Spinach,1.933747,2.920803,1.163464,8.51088,0.889698,0.725502,1.627264,0.737566,7.106773,8.715182,15.940126,0.29853,1.8,PSF-00495_20241017092839_2a1,0,0,0,151.265503,171.679611,0.118908,0.5,0.8,88.964317,1,58.9,48.03,13.08,14.22,14.22,102.09,156.6,159.1,-1.6,1870,3.72,9:21:06,10/17/24,-0.17,1,-0.017,0.002,0.006,0.263,1.03,1.971,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.501369,2.456882,1.658594,0.941369,0.440233,0.012594,0.240383,1.679936,151.265503,0.000288,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017092839_2a1,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
21,9:22:16,11,10/17/24,Albany,M Sturchio,AV,Radicchio,0.204301,2.92004,0.190941,2.39975,0.785447,0.739083,2.050404,1.264956,7.241158,7.69541,20.088802,0.29853,1.8,PSF-00495_20241017092216_752,0,0,0,88.213921,100.928307,0.125974,0.5,0.8,94.789558,1,52.1,49.03,13.04,17.84,17.84,102.07,156.5,158.7,-1.4,1881,3.686,9:21:06,10/17/24,-0.17,1,0.004,0.002,0.012,0.159,0.306,0.723,1,150,0.005,2,0.16585,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502824,2.447912,1.657803,0.940301,0.44079,0.051694,0.190375,1.688917,88.213921,0.000274,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20241017092216_752,PFA-00525,PSA-00537,PSF-00495,RHS-0718,3.0.0,2024-10-15T11:49:10.185Z
