location,season,plot_code_ 2025,plot_code_ 2024,treatment,block,row,sample_no,replicate _no,type,date_harvested,belowground_fresh_biomass_g,aboveground_fresh_biomass_g,head_fresh_biomass_g,total_canopy_fresh_biomass_g,marketable_haed,head diameter if any in mm,Head height if any in mm,Herbivory,Rot,general_damage,Internal_damage,root_dry_biomass_g,shoot_dry_biomass_g,head_dry_biomass_g,total_dry_biomass_g,root_shoot_ratio,partitioning_root,partitioning_shoot,belowground_biomass_moisture_%,aboveground_biomass_moisture_%,head_biomass_moisture_%,total_canopy_biomass_moisture_%,Notes
Northern,2024,C1,C2,Control,I,East,1,1,Weedy Check,12/2/24,15.5,141.4,69.9,156.9,1,76,85,0,0,0,0,2.7,7.656,6.681,10.356,35.27%,26.07%,73.93%,82.58%,94.59%,90.44%,93.40%,0.2g of dirt off of roots
Northern,2024,C1,C2,Control,I,East,1,2,Weedy Check,12/2/24,26.7,166.3,82.1,193,1,77,67,0,0,0,0,5.752,7.871,8.699,13.623,73.08%,42.22%,57.78%,78.46%,95.27%,89.40%,92.94%,1.152g dirt off of roots
Northern,2024,C1,C2,Control,I,East,2,NULL,New Emergence,12/2/24,12.3,95,45.8,107.3,1,58,73,0,0,0,0,2.495,5.202,5.494,7.697,47.96%,32.42%,67.58%,79.72%,94.52%,88.00%,92.83%,NULL
Northern,2024,C1,C2,Control,I,East,3,NULL,7,12/2/24,6.5,34.5,4.4,41,0,23,35,0,0,0,0,1.015,3.299,0.452,4.314,30.77%,23.53%,76.47%,84.38%,90.44%,89.73%,89.48%,head unmarketably small
Northern,2024,C1,C2,Control,I,East,4,NULL,10,12/2/24,12.8,107.2,32.3,120,1,43,75,0,0,0,0,2.324,6.963,4.003,9.287,33.38%,25.02%,74.98%,81.84%,93.50%,87.61%,92.26%,NULL
Northern,2024,C1,C2,Control,I,East,5,NULL,18,12/2/24,22.6,161.6,61.2,184.2,1,65,84,0,0,0,0,4.496,8.92,6.745,13.416,50.40%,33.51%,66.49%,80.11%,94.48%,88.98%,92.72%,about 0.531 g dirt off of roots
Northern,2024,C1,C2,Control,I,West,6,1,Weedy Check,12/2/24,8,72.6,30.8,80.6,1,56,73,0,0,0,0,1.358,3.822,3.237,5.18,35.53%,26.22%,73.78%,83.03%,94.74%,89.49%,93.57%,NULL
Northern,2024,C1,C2,Control,I,West,6,2,Weedy Check,12/2/24,8.3,75,38.3,83.3,1,61,73,0,0,1,0,1.485,3.574,3.804,5.059,41.55%,29.35%,70.65%,82.11%,95.23%,90.07%,93.93%,tiny brown spot 2x3mm on leaf base
Northern,2024,C1,C2,Control,I,West,7,1,New Emergence,12/2/24,10,111.4,65.1,121.4,1,63,76,0,0,0,0,1.963,4.548,6.463,6.511,43.16%,30.15%,69.85%,80.37%,95.92%,90.07%,94.64%,NULL
Northern,2024,C1,C2,Control,I,West,7,2,New Emergence,12/2/24,5.9,31,13.1,36.9,0,35,50,0,0,0,0,1.205,2.206,1.458,3.411,54.62%,35.33%,64.67%,79.58%,92.88%,88.87%,90.76%,head unmarketably small
Northern,2024,C1,C2,Control,I,West,3,NULL,8,12/2/24,11.1,84.5,40.6,95.6,1,45,65,0,0,0,0,2.023,4.386,4.522,6.409,46.12%,31.56%,68.44%,81.77%,94.81%,88.86%,93.30%,NULL
Northern,2024,C1,C2,Control,I,West,4,NULL,12,12/2/24,8.3,95.7,52.7,104,1,56,73,0,1,0,0,1.504,3.562,4.669,5.066,42.22%,29.69%,70.31%,81.88%,96.28%,91.14%,95.13%,20x10mm rot/translucence on top 2 leaves
Northern,2024,C1,C2,Control,I,West,5,NULL,20,12/2/24,10.6,150.6,67.6,161.2,1,64,88,0,0,1,0,1.856,6.914,6.059,8.77,26.84%,21.16%,78.84%,82.49%,95.41%,91.04%,94.56%,see photo 
Northern,2024,C2,C4,Control,II,East,1,1,Weedy Check,12/2/24,8.6,103.4,50.2,112,1,57,65,0,1,0,0,1.508,4.246,4.58,5.754,35.52%,26.21%,73.79%,82.47%,95.89%,90.88%,94.86%,NULL
Northern,2024,C2,C4,Control,II,East,1,2,Weedy Check,12/2/24,14.3,123.4,56.6,137.7,1,65,65,0,0,0,0,2.731,5.482,5.892,8.213,49.82%,33.25%,66.75%,80.90%,95.56%,89.59%,94.04%,NULL
Northern,2024,C2,C4,Control,II,East,2,NULL,New Emergence,12/2/24,9.1,112.5,55.5,121.6,1,60,65,0,0,0,0,1.631,4.956,5.387,6.587,32.91%,24.76%,75.24%,82.08%,95.59%,90.29%,94.58%,NULL
Northern,2024,C2,C4,Control,II,East,3,NULL,8,12/2/24,5.7,88.6,49,94.3,1,49,59,0,0,0,NULL,1.084,3.205,4.319,4.289,33.82%,25.27%,74.73%,80.98%,96.38%,91.19%,95.45%,NULL
Northern,2024,C2,C4,Control,II,East,4,NULL,13,12/2/24,13.1,107.2,55.1,120.3,1,52,69,0,0,1,0,2.522,4.429,6.235,6.951,56.94%,36.28%,63.72%,80.75%,95.87%,88.68%,94.22%,slight stem browning on outer leaf
Northern,2024,C2,C4,Control,II,East,5,NULL,15,12/2/24,5.4,76,47.6,81.4,1,59,65,0,0,0,0,1.15,2.848,5.119,3.998,40.38%,28.76%,71.24%,78.70%,96.25%,89.25%,95.09%,"Poorly thinned, growing in competition with 23 gram radicchio"
Northern,2024,C2,C4,Control,II,West,1,1,Weedy Check,12/2/24,16.4,125.4,62,141.8,1,60,63,0,0,0,NULL,3.374,5.627,6.731,9.001,59.96%,37.48%,62.52%,79.43%,95.51%,89.14%,93.65%,NULL
Northern,2024,C2,C4,Control,II,West,1,2,Weedy Check,12/2/24,10.4,100.5,51.4,110.9,1,52,61,0,0,0,0,1.704,4.279,5.094,5.983,39.82%,28.48%,71.52%,83.62%,95.74%,90.09%,94.61%,NULL
Northern,2024,C2,C4,Control,II,West,2,1,New Emergence,12/2/24,11.9,109.6,41.5,121.5,1,49,64,0,0,0,0,1.953,5.051,4.143,7.004,38.67%,27.88%,72.12%,83.59%,95.39%,90.02%,94.24%,NULL
Northern,2024,C2,C4,Control,II,West,2,2,New Emergence,12/2/24,18.7,137.1,66.5,155.8,1,57,68,0,0,0,0,3.602,6.249,6.621,9.851,57.64%,36.56%,63.44%,80.74%,95.44%,90.04%,93.68%,"Poorly thinned, growing in competition with 55.2 gram radicchio"
Northern,2024,C2,C4,Control,II,West,3,NULL,4,12/2/24,9.6,115.7,62.2,125.3,1,62,73,0,0,0,0,1.957,4.737,5.224,6.694,41.31%,29.24%,70.76%,79.61%,95.91%,91.60%,94.66%,NULL
Northern,2024,C2,C4,Control,II,West,4,NULL,15,12/2/24,11.3,131.6,66.8,142.9,1,62,83,0,0,0,0,2.254,6.384,6.684,8.638,35.31%,26.09%,73.91%,80.05%,95.15%,89.99%,93.96%,NULL
Northern,2024,C2,C4,Control,II,West,5,NULL,21,12/2/24,11.7,127.9,62.8,139.6,1,63,68,0,0,0,0,2.143,5.528,6.054,7.671,38.77%,27.94%,72.06%,81.68%,95.68%,90.36%,94.51%,NULL
Northern,2024,C3,C5,Control,III,East,1,NULL,Weedy Check,12/2/24,10,157.8,77.3,167.8,1,75,72,0,0,0,0,1.915,5.977,7.035,7.892,32.04%,24.27%,75.73%,80.85%,96.21%,90.90%,95.30%,NULL
Northern,2024,C3,C5,Control,III,East,1,NULL,Weedy Check,12/2/24,16.9,175.8,70.2,192.7,1,64,76,0,0,0,0,3.545,10.166,7.375,13.711,34.87%,25.86%,74.14%,79.02%,94.22%,89.49%,92.88%,NULL
Northern,2024,C3,C5,Control,III,East,2,NULL,New Emergence,12/2/24,4.7,52.4,21.7,57.1,0,47,61,0,0,0,0,0.998,4.241,2.694,5.239,23.53%,19.05%,80.95%,78.77%,91.91%,87.59%,90.82%,unmarketably small
Northern,2024,C3,C5,Control,III,East,3,NULL,4,12/2/24,9.9,154.2,82.8,164.1,1,71,72,0,0,0,0,1.962,5.671,7.075,7.633,34.60%,25.70%,74.30%,80.18%,96.32%,91.46%,95.35%,NULL
Northern,2024,C3,C5,Control,III,East,4,NULL,10,12/2/24,9,77,32.4,86,0,41,46,0,3,0,0,1.459,4.081,2.555,5.54,35.75%,26.34%,73.66%,83.79%,94.70%,92.11%,93.56%,NULL
Northern,2024,C3,C5,Control,III,East,5,1,20 or ?,12/2/24,8.7,96.5,38.2,105.2,0,67,57,0,2,3,0,1.536,4.001,3.391,5.537,38.39%,27.74%,72.26%,82.34%,95.85%,91.12%,94.74%,Not sure why there are two radicchio here. Shaggy and rotting outer head leaves; inner core ok but would be too small to sell.
Northern,2024,C3,C5,Control,III,East,5,2,20 or ?,12/2/24,10.5,141.6,73,152.1,1,69,75,0,0,0,0,2.141,6.195,7.038,8.336,34.56%,25.68%,74.32%,79.61%,95.63%,90.36%,94.52%,"Not sure why there are two radicchio here. Excellent, well-packed head."
Northern,2024,C3,C5,Control,III,West,1,1,Weedy Check,12/2/24,10.7,91.4,52.1,102.1,1,54,66,0,0,1,0,1.978,3.454,4.781,5.432,57.27%,36.41%,63.59%,81.51%,96.22%,90.82%,94.68%,double plant; discarded smaller 30.6 gram plant. Other damage = slight stem browning on outer leaves.
Northern,2024,C3,C5,Control,III,West,1,2,Weedy Check,12/2/24,11.2,110.3,47.4,121.5,1,58,71,0,2,0,0,2.275,5.454,5.003,7.729,41.71%,29.43%,70.57%,79.69%,95.06%,89.45%,93.64%,strip of rot 55mm long along top leaf edge; 30x30-mm patch on next leaf in. 
Northern,2024,C3,C5,Control,III,West,2,NULL,New Emergence,12/2/24,6.4,97.9,51.8,104.3,1,64,78,0,0,0,0,1.336,4.493,5.464,5.829,29.74%,22.92%,77.08%,79.13%,95.41%,89.45%,94.41%,NULL
