plot.code.2024,plot.code.2025,row,type,date,marketability,treatment,number,shoot.mass,root.mass ,smallest.diameter,largest.diameter,herbivory,splitting,pitting,chambering,russeting,foliage.herbivory,too.small,notes,dhoot.dry.biomass,root.dry.biomass
C2,C1,East,Weedy Check,10/29/24,Marketable,Control,4,48.3,153.7,1.2,1.7,3,,,,1,,,,5.1,9.4
C2,C1,East,Weedy Check,10/29/24,Unmarketable,Control,1,27.5,58.6,1.5,1.5,,1,,,1,,,,2.9,4.1
C2,C1,Center,Weedy Check,10/29/24,Marketable,Control,3,26.2,66.2,1.2,1.3,2,,,,,,,,2.6,4.8
C2,C1,Center,Weedy Check,10/29/24, Unmarketable,Control,1,8.6,20.3,1.2,1.2,1,,,,,,,,0.9,1.6
C2,C1,West,Weedy Check,10/29/24,Marketable,Control,3,29.2,77.5,0.9,1.5,,,,1,,,,Cavitying in the largest one,2.5,5
C2,C1,West,Weedy Check,10/29/24, Unmarketable,Control,0,,,,,,,,,,,,,,
C2,C1,East,New Emergence,10/29/24,Marketable,Control,5,37.8,152.1,1.2,1.8,2,,,,1,,,,3.7,11.4
C2,C1,East,New Emergence,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,Center,New Emergence,10/29/24,Marketable,Control,6,40.4,92.6,0.8,1.4,,,,,2,,,1 very dark radish,4.3,8
C2,C1,Center,New Emergence,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,West,New Emergence,10/29/24,Marketable,Control,6,61.3,182.5,1.1,1.7,2,,,1,3,,,,5.2,12.3
C2,C1,West,New Emergence,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,East,Standard,10/29/24,Marketable,Control,2,19.7,60.3,,,1,1,,,1,,,,1.9,4.4
C2,C1,East,Standard,10/29/24, Unmarketable,Control,1,10.2,21.3,,,,1,,,1,1,,,0.8,1.7
C2,C1,Center,Standard,10/29/24,Marketable,Control,2,9.7,28.6,1.1,1.1,,,,,2,,,,1.2,2.5
C2,C1,Center,Standard,10/29/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,West,Standard,10/29/24,Marketable,Control,3,33.7,94.4,0.9,1.3,,,,,2,,,,3.2,7.1
C2,C1,West,Standard,10/29/24, Unmarketable,Control,2,24,64.4,1.1,1.6,,1,,,2,,,Almost split in half (see photo),2.1,4.9
C2,C1,East,Weedy Check,11/5/24,Marketable,Control,1,5.5,15.1,1,1,,,,,,,,,0.567,1.209
C2,C1,East,Weedy Check,11/5/24,Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,Center,Weedy Check,11/5/24,Marketable,Control,1,4.3,14.5,1.1,1.1,,,,,1,,,,0.535,1.096
C2,C1,Center,Weedy Check,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,West,Weedy Check,11/5/24,Marketable,Control,0,,,,,0,0,0,0,0,0,,,,
C2,C1,West,Weedy Check,11/5/24, Unmarketable,Control,0,,,,,0,0,0,0,0,0,,,,
C2,C1,East,New Emergence,11/5/24,Marketable,Control,1,5,13.6,1.1,1.1,,,,,1,,,,0.538,1.191
C2,C1,East,New Emergence,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,Center,New Emergence,11/5/24,Marketable,Control,1,2.9,7.6,0.9,0.9,1,0,0,0,0,1,,,0.316,0.718
C2,C1,Center,New Emergence,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,West,New Emergence,11/5/24,Marketable,Control,1,7.6,14.9,1.1,1.1,0,0,0,0,0,1,,,0.668,1.165
C2,C1,West,New Emergence,11/5/24, Unmarketable,Control,,,,,,,,,,,,,,,
C2,C1,East,Standard,11/5/24,Marketable,Control,1,5.8,15.9,1.1,1.1,0,0,0,0,1,1,,,0.609,1.379
